28	3	0	614.611	862.662	0.929	2.653	2.482	7.161	22.923	79.374	939.848
29	3	1	614.655	862.625	0.937	2.521	2.425	6.865	21.682	74.529	1074.329
30	3	2	614.841	863.531	0.897	2.538	2.485	7.220	23.301	81.195	1071.518
31	3	3	615.149	862.655	1.016	2.658	2.489	7.294	23.917	85.220	975.344
32	3	4	615.255	863.884	0.963	2.722	2.531	7.501	24.768	88.540	884.812
33	3	5	614.959	863.864	0.954	2.491	2.627	8.192	28.550	107.402	975.565
34	3	6	614.518	863.555	0.990	2.443	2.504	7.406	24.546	88.385	1161.075
35	3	7	614.944	863.770	0.935	2.450	2.533	7.522	24.877	88.997	1094.897
36	3	8	614.723	863.654	0.843	2.469	2.613	8.018	27.356	100.597	1050.598
37	3	9	614.748	862.860	0.949	2.470	2.594	7.803	25.976	93.184	1016.352
38	3	10	614.987	863.736	0.936	2.395	2.582	7.884	26.935	99.655	1141.563
39	3	11	614.667	863.022	0.931	2.416	2.571	7.739	25.922	93.897	1132.355
40	3	12	614.615	863.698	0.990	2.603	2.617	8.024	27.325	100.296	952.423
41	3	13	615.163	862.783	1.036	2.547	2.547	7.633	25.568	92.884	992.679
42	3	14	614.671	863.441	1.061	2.928	2.725	8.676	30.507	114.980	640.811
43	3	15	614.503	862.891	0.979	2.649	2.489	7.275	23.782	84.548	968.216
44	3	16	614.873	863.452	1.012	2.799	2.601	7.868	26.312	94.678	900.255
45	3	17	614.532	863.082	0.978	2.660	2.625	8.030	27.253	99.755	810.788
46	3	18	614.742	863.017	1.058	2.743	2.562	7.738	26.095	95.252	722.867
47	3	19	615.031	863.486	1.016	2.717	2.580	7.825	26.456	96.653	965.415
48	3	20	614.376	862.638	1.143	2.873	2.486	7.338	24.367	88.181	914.135
49	3	21	614.722	862.738	1.108	2.515	2.601	7.935	26.916	98.484	848.945
50	3	22	615.081	862.729	0.989	2.695	2.486	7.337	24.350	88.002	920.602
51	3	23	614.731	863.841	0.933	2.513	2.581	7.773	26.017	94.117	1163.450
52	3	24	614.735	864.512	0.968	2.496	2.603	7.907	26.666	96.992	1151.231
53	4	0	630.520	863.055	0.911	1.998	2.390	6.806	21.870	76.942	1691.007
54	4	1	630.415	863.293	0.894	1.673	2.511	7.459	24.849	90.013	2490.428
55	4	2	630.245	863.452	1.008	1.903	2.492	7.356	24.401	88.168	1984.810
56	4	3	630.737	863.366	0.948	1.860	2.456	7.044	22.497	77.901	2206.507
57	4	4	630.525	863.829	0.906	1.820	2.436	7.032	22.874	81.456	2240.269
58	4	5	630.549	864.058	0.864	1.952	2.456	7.173	23.548	84.113	1880.440
59	4	6	630.673	863.782	0.950	1.810	2.388	6.660	20.710	70.025	2140.490
60	4	7	630.350	864.203	0.860	1.944	2.428	6.963	22.399	78.525	1742.737
61	4	8	630.695	863.704	0.930	2.103	2.395	6.770	21.554	75.229	1676.363
62	4	9	630.523	863.280	0.897	1.869	2.384	6.691	21.045	72.204	2112.630
63	4	10	630.741	863.713	0.986	2.059	2.465	7.140	23.133	81.507	1775.473
64	4	11	630.279	863.645	0.876	1.707	2.458	7.167	23.522	84.290	2650.011
65	4	12	630.689	863.407	0.883	1.714	2.389	6.821	22.082	78.517	2530.234
